yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,roadtype_name,sourcetype_name
2022,1,1,12,52,1,4,2201520412,88400.9,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,1,53,1,4,2201530401,86998.8,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Long-haul Truck
2022,7,1,18,53,1,1,2201530118,83370.3,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Off-Network,Single Unit Long-haul Truck
2022,1,1,15,52,1,5,2201520515,82190.9,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,15,52,3,4,2203520415,81403.7,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,15,61,3,5,2203610515,78104.8,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Combination Short-haul Truck
2022,7,1,91,62,2,1,2202620191,77509.3,Total Gaseous Hydrocarbons,Auxiliary Power Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,91,62,2,1,2202620191,75441.3,Total Gaseous Hydrocarbons,Auxiliary Power Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,15,61,3,5,2203610515,74932.8,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Combination Short-haul Truck
2022,7,1,15,52,3,1,2203520115,73014,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,15,52,3,4,2203520415,70162.1,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,15,52,3,1,2203520115,62954.5,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,7,1,1,62,3,1,2203620101,62879.9,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,1,62,3,1,2203620101,61291,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Long-haul Truck
2022,7,1,15,53,2,5,2202530515,59715.8,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,19,53,1,5,2201530519,59134.5,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,1,1,16,52,2,1,2202520116,55054.1,Total Gaseous Hydrocarbons,Crankcase Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,7,1,1,53,1,1,2201530101,52214.4,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Long-haul Truck
2022,7,1,19,53,2,4,2202530419,51495.8,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Single Unit Long-haul Truck
2022,1,1,15,53,2,5,2202530515,51474.1,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,1,1,19,53,1,5,2201530519,50973,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,2,53,1,1,2201530102,49384.6,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Long-haul Truck
2022,1,1,2,53,1,1,2201530102,47751.6,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Long-haul Truck
2022,1,1,19,53,2,4,2202530419,44387.7,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Single Unit Long-haul Truck
2022,1,1,1,53,1,1,2201530101,41569.7,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Long-haul Truck
2022,7,1,13,53,1,5,2201530513,41146.9,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,2,62,2,1,2202620102,37586.6,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Combination Long-haul Truck
2022,7,1,11,52,1,4,2201520411,36430.8,Total Gaseous Hydrocarbons,Evap Permeation,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,13,53,1,5,2201530513,35468.1,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,12,53,1,5,2201530512,33013.9,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,1,1,12,53,1,5,2201530512,32605.1,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,15,61,3,4,2203610415,28453.8,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Combination Short-haul Truck
2022,1,1,15,61,3,4,2203610415,27303.5,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Combination Short-haul Truck
2022,7,1,19,53,1,4,2201530419,26495.7,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Single Unit Long-haul Truck
